NAME,SYMBOL,SLUG,N MARKET PAIRS,DATE ADDED,TAGS,MAX SUPPLY,CIRC SUPPLY,TOTAL SUPPLY,CMC RANK,LAST UPDATED,EXCH CUR,PRICE,VOLUME 24h,% CHANGE 1h,% CHANGE 24h,% CHANGE 7d,% CHANGE 30d,% CHANGE 60d,% CHANGE 90d,MARKET CAP
LitecoinToken,LTK,litecoin-token,1,2019-03-20T00:00:00.000Z,,,93798013228,8.4E+11,2449,2021-05-11T12:51:09.000Z,GBP,9.18E-08,24.23946319,-0.04958831,-0.36080279,-9.3762422,159.7136094,-7.14896316,549.8503072,8612.749792
Vivid Coin,VIVID,vivid-coin,1,2018-08-01T00:00:00.000Z,"mineable,masternodes",,7697539.173,7910746.173,2450,2021-05-11T12:51:10.000Z,GBP,0.001093952,4.38E-05,-0.40348887,-4.82913579,7.62826943,-13.67918753,-46.2945052,-31.78930148,8420.738021
Independent Money System,IMS,independent-money-system,1,2016-03-18T00:00:00.000Z,"mineable,hybrid-pow-pos,scrypt",,5368933.597,5368933.597,2451,2021-05-11T12:52:04.000Z,GBP,0.00156322,1.00E-08,-0.44362048,-4.79901065,-3.94333771,23.39560221,95.72748909,21.83845855,8392.824986
Moonshot,MOONSHOT,moonshot,4,2021-04-06T00:00:00.000Z,,1,1.91163E+11,6.29125E+11,2452,2021-05-11T12:52:06.000Z,GBP,4.24E-08,2043683.908,-13.91155589,0.05892651,-1.44727495,101.2481985,,,8105.229507
ETHPlus,ETHP,ethplus,8,2020-06-29T00:00:00.000Z,,,1308522,20000000,2453,2021-05-11T12:52:08.000Z,GBP,0.007152746,1971.763525,18.25657184,6.16281774,184.6174582,-28.87034137,-5.01189927,-33.42663439,9359.525073
Electrum Dark,ELD,electrum-dark-eld,5,2019-02-18T00:00:00.000Z,,,3899312.2,3900000,2454,2021-05-11T12:52:08.000Z,GBP,0.002006558,90.72950831,-16.49211742,-20.18201725,-19.1826073,135.4796812,-31.33041166,-23.55262005,7824.194755
IBStoken,IBS,ibstoken,2,2020-04-02T00:00:00.000Z,,1500000000,1069402.492,1500000000,2455,2021-05-11T12:52:05.000Z,GBP,0.007034491,175.7215726,-0.44362048,7.13539708,-17.66571803,4.11503937,-11.83583151,-0.29965493,7522.701681
XMCT,XMCT,xmct,1,2018-07-15T00:00:00.000Z,,,105319790,700000000,2456,2021-05-11T12:51:10.000Z,GBP,7.07E-05,1.00E-08,-0.08482464,-0.44497332,-2.37981781,0.05828985,0.02668578,-0.11758979,7443.633454
Noah Coin,NOAHP,noah-coin,4,2018-03-21T00:00:00.000Z,"platform,payments,smart-contracts",2.16E+11,131656984,2.16E+11,2457,2021-05-11T12:52:07.000Z,GBP,5.59E-05,11611.72634,-1.06251359,-3.03330909,-6.31935666,64.82002139,,,7362.594843
Ragnarok,RAGNA,ragnarok,1,2018-10-02T00:00:00.000Z,"mineable,masternodes",100000000,16238639.35,18659848.53,2458,2021-05-11T12:52:05.000Z,GBP,0.000429886,0.001719545,-0.44362048,-4.79901065,-18.72128575,1.80137183,-46.1749405,34.0223044,6980.7561
